cc,country,distance,force_ping_select,host,https_functional,id,isp_id,lat,lon,name,preferred,sponsor,url
NL,Netherlands,281,,speedtest.matrixdata.nl.prod.hosts.ooklaserver.net:8080,1,43797,314448,52.3422,5.6367,Harderwijk,0,MatrixDATA,http://speedtest.matrixdata.nl:8080/speedtest/upload.php
SO,Somalia,3628,,speedtest.telesom.com.prod.hosts.ooklaserver.net:8080,1,42200,86863,9.5667,44.0667,Hargeisa,0,Telesom Company,http://speedtest.telesom.com:8080/speedtest/upload.php
SO,Somalia,3628,,speedtest.somcable.com:8080,1,5795,224162,9.5667,44.0667,Hargeisa,0,Somcable Ltd,http://speedtest.somcable.com:8080/speedtest/upload.php
SO,Somalia,3628,,somtelisp.com.prod.hosts.ooklaserver.net:8080,1,25679,98790,9.5667,44.0667,Hargeisa,0,Somtel International,http://somtelisp.com:8080/speedtest/upload.php
US,United States,4128,,speedtest.imctv.com.prod.hosts.ooklaserver.net:8080,1,1443,3319,37.5760,-82.6330,"Harold, KY",0,Inter Mountain Cable,http://speedtest.imctv.com:8080/speedtest/upload.php
US,United States,3530,,speed10.gonetspeed.com.prod.hosts.ooklaserver.net:8080,1,60283,183693,41.7634,-72.6128,"East Hartford, CT",0,GoNetspeed,http://speed10.gonetspeed.com:8080/speedtest/upload.php
US,United States,3532,,speed04.gonetspeed.com.prod.hosts.ooklaserver.net:8080,1,45728,183693,41.7658,-72.6734,"Hartford, CT",0,GoNetspeed,http://speed04.gonetspeed.com:8080/speedtest/upload.php
US,United States,3533,,speedtest.cteducation.net.prod.hosts.ooklaserver.net:8080,1,63263,58375,41.7636,-72.6856,"Hartford, CT",0,Connecticut Education Network,http://speedtest.cteducation.net:8080/speedtest/upload.php
US,United States,3535,,speed02.gonetspeed.com.prod.hosts.ooklaserver.net:8080,1,18687,183693,41.7621,-72.7420,"West Hartford, CT",0,GoNetspeed,http://speed02.gonetspeed.com:8080/speedtest/upload.php
US,United States,4288,,speedtest.hartcom.net.prod.hosts.ooklaserver.net:8080,1,11643,34982,34.3529,-82.9321,"Hartwell, GA",0,Hart Telephone Co,http://speedtest.hartcom.net:8080/speedtest/upload.php
BG,Bulgaria,1219,,escom.bg.prod.hosts.ooklaserver.net:8080,1,3176,29068,41.9329,25.5559,Haskovo,0,escom,http://escom.bg:8080/speedtest/upload.php
DK,Denmark,683,,speedtest2.servers.bornfiber.dk:8080,1,38972,106772,55.1819,14.7086,Hasle,0,BornFiber,http://speedtest2.servers.bornfiber.dk:8080/speedtest/upload.php
US,United States,4727,,speedtest.fhsu.edu:8080,1,1345,3194,38.8794,-99.3223,"Hays, KS",0,Fort Hays State Univ,http://speedtest.fhsu.edu:8080/speedtest/upload.php
CA,Canada,3656,,speedtest.hearstconnect.com.prod.hosts.ooklaserver.net:8080,1,21620,172982,49.6880,-83.6670,"Hearst, ON",0,Hearst Connect,http://speedtest.hearstconnect.com:8080/speedtest/upload.php
